species,hemisphere,grid,longitude,latitude,region,region_close,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
macloviana,SH,69435,-72.25,-51.25,5,5,53.9166666666667,98.0277777777778,48.0277777777778,3781.61111111111,159.944444444444,-42.1944444444444,202.138888888889,51.6666666666667,65.1388888888889,99.5555555555556,2.75,358.055555555556,39.5,21.8055555555556,17.3611111111111,111.638888888889,71.75,81.8888888888889,92.4166666666667
macloviana,SH,68727,-71.75,-39.25,5,5,83.1944444444444,127.861111111111,55.9444444444444,3605.58333333333,224.666666666667,-1.77777777777778,226.444444444444,43,130.555555555556,130.555555555556,38.2222222222222,1675.44444444444,282.166666666667,42.9166666666667,62.3055555555556,801.916666666667,151.722222222222,151.722222222222,772.75
macloviana,SH,68433,-71.25,-36.75,5,5,69.6944444444444,143.611111111111,55.4166666666667,4245.58333333333,224.944444444444,-31.6944444444444,256.638888888889,22.25,125.527777777778,125.944444444444,16.3055555555556,1054.08333333333,209.888888888889,18.8055555555556,78.5,578.305555555556,66.4722222222222,66.4722222222222,547.333333333333
macloviana,SH,68368,-70.75,-36.25,5,5,59.5,147.666666666667,55.1388888888889,4467.86111111111,215.277777777778,-50.1944444444444,265.472222222222,9.33333333333333,117.888888888889,117.888888888889,2.75,771.25,151.666666666667,15.6388888888889,76.2222222222222,415.25,53.2222222222222,53.2222222222222,399.138888888889
macloviana,NH,36588,-105.25,37.25,2,2,29.3055555555556,164.972222222222,41.5833333333333,7779.36111111111,228.25,-163.166666666667,391.416666666667,123.055555555556,-68.8333333333333,129.027777777778,-71.2222222222222,496.722222222222,77.3611111111111,23.0833333333333,42.0277777777778,196.444444444444,77.8611111111111,192.638888888889,77.8888888888889
macloviana,NH,36240,-107.25,37.75,2,2,-6.94444444444444,159.75,41.9444444444444,7479.61111111111,185.027777777778,-191.444444444444,376.472222222222,85,22.7777777777778,88.9444444444444,-99.5277777777778,818.138888888889,90.1666666666667,37.5555555555556,22.25,244.861111111111,140.333333333333,210.833333333333,209.027777777778
macloviana,NH,35212,-105.75,39.25,2,2,9.30555555555556,158.388888888889,40.25,7987.11111111111,212.361111111111,-177.305555555556,389.666666666667,105.388888888889,-74.6944444444444,112.944444444444,-90.6111111111111,468.444444444444,65.5555555555556,23.1388888888889,36.9722222222222,171.111111111111,77.0277777777778,170.638888888889,78.4166666666667
macloviana,NH,34852,-107.25,39.75,2,2,16.3611111111111,157.666666666667,39.6944444444444,8087.25,225.25,-166.888888888889,392.138888888889,50.75,20.0277777777778,121.333333333333,-83.9722222222222,529.527777777778,52.7222222222222,34.4444444444444,10.9722222222222,144.25,122.666666666667,131.972222222222,130.361111111111
macloviana,NH,34855,-105.75,39.75,2,2,-3.55555555555556,139.861111111111,38.8333333333333,7564.52777777778,187.5,-167.25,354.75,-1.75,-7.05555555555556,96.1111111111111,-95.2222222222222,669.916666666667,70.6111111111111,40.5,16.6944444444444,197.166666666667,138.861111111111,178.027777777778,156.138888888889
macloviana,NH,34497,-105.75,40.25,2,2,2.72222222222222,145.444444444444,39.8055555555556,7588.44444444444,199.694444444444,-161.25,360.944444444444,15.8611111111111,-8.55555555555556,102.25,-89.8055555555556,628.222222222222,65.8055555555556,38.3611111111111,16.0833333333333,186.083333333333,130.75,170.694444444444,141.972222222222
macloviana,NH,34495,-106.75,40.25,2,2,21.6666666666667,162.472222222222,40.1666666666667,8315.05555555555,237.277777777778,-161.583333333333,398.861111111111,84.7777777777778,-15.3611111111111,128.388888888889,-83.9444444444444,501.75,49.2777777777778,34.3055555555556,9.66666666666667,138.777777777778,115.555555555556,133.694444444444,119.472222222222
macloviana,NH,28130,-123.75,48.25,NA,2,82.25,83.1785714285714,39.8571428571429,4380.71428571429,203.75,-2.71428571428571,206.464285714286,33.8214285714286,138.428571428571,139.964285714286,29.7857142857143,1637.17857142857,273.107142857143,31.1071428571429,64.2857142857143,781.035714285714,111.821428571429,137.535714285714,718.857142857143
macloviana,NH,27267,-120.25,49.25,2,2,21.8611111111111,113.388888888889,32.9722222222222,7724.25,209.833333333333,-129.611111111111,339.444444444444,-64.2777777777778,25.8055555555556,120.027777777778,-77.1944444444444,424.777777777778,54.3888888888889,25.3611111111111,25.2777777777778,147.555555555556,82.5833333333333,101.638888888889,135.055555555556
macloviana,NH,27260,-123.75,49.25,NA,2,93.4090909090909,78.7272727272727,34.1363636363636,5260.36363636364,223.409090909091,-3.13636363636364,226.545454545455,35.3636363636364,163,163,30.6818181818182,1161,187.818181818182,31.8181818181818,56.5909090909091,530,111.636363636364,111.636363636364,480.863636363636
macloviana,NH,27268,-119.75,49.25,2,2,47.6111111111111,114.194444444444,32.4166666666667,7941.75,240.833333333333,-106.027777777778,346.861111111111,7.36111111111111,26.8888888888889,149.166666666667,-54.1388888888889,332.25,38.7222222222222,18.3888888888889,21.8333333333333,102.305555555556,66.0833333333333,91.4166666666667,94.2777777777778
macloviana,NH,27268,-119.75,49.25,2,2,47.6111111111111,114.194444444444,32.4166666666667,7941.75,240.833333333333,-106.027777777778,346.861111111111,7.36111111111111,26.8888888888889,149.166666666667,-54.1388888888889,332.25,38.7222222222222,18.3888888888889,21.8333333333333,102.305555555556,66.0833333333333,91.4166666666667,94.2777777777778
